method,endpoint,description
GET,api/users/\{id\}/audit,Get the audit log for a user
POST,/api/auth/login,Authenticate to the server
POST,/api/auth/totp/generate,Generate new TOTP secret which is then cached
POST,/api/auth/totp/verify,Verifies TOTP secret stored in cache
GET,/api/users/\{id\}/categories,Get list of categories owned by user
POST,/api/users/\{id\}/categories,Create category owned by user
PUT,/api/users/\{id\}/categories/\{id\},Update category owned by user
DELETE,/api/users/\{id\}/categories/\{id\},Delete category owned by user
GET,/api/invites,Get status of an invite
POST,/api/invites,Create new invite
POST,/api/invites/\{id\}/accept,Accept invite and create user
GET,api/users/\{id\}/passwords,Get list of passwords owned by user
POST,/api/users/\{id\}/passwords,Create password owned by user
PUT,/api/users/\{id\}/passwords/\{id\},Update password owned by user
DELETE,/api/users/\{id\}/passwords/\{id\},Delete password owned by user
GET,/api/users/\{id\}/passwords/shares, Get list of passwords shared to the user
POST,/api/users/\{id\}/passwords/\{id\}/shares, Share password to another user
GET,/api/users/\{id\}/passwords/\{id\}/shares, Get list of users the password is shared with
GET,/api/users/\{id\}/passwords/shared/\{id\}, Get a single shared password
PUT,/api/users/\{id\}/passwords/shares/\{id\},	Update a shared password
GET,/api/users/\{id\}/passwords/shared, Get passwords the user has shared
DELETE,/api/users/\{id\}/passwords/shares/\{id\},Deletes shared password
GET,/api/users,Get user list
POST,/api/users,Create user 
PUT,/api/users/\{id\},Update user 
DELETE,/api/users/\{id\},Delete user
